Category,Case Number,Crime Date and Time,Report Date,Incident Description,Residential Occurance,Disposition,Location,Lat,Lon
Drug Violations,2013208666,12/31/2013 - 11:51pm,12/31/13,"ASSIST METRO REF NARCOTICS DETECTION K9 - OPER MTR VEHICLE UNDER THE INFLUENCE/M, POSS OF MARIJUANA/M, DRUG PARAPHERNALIA - BUY/POSSESS/M",No,Closed - Lexington Police Report,FIREBROOK BLVD,37.993202,-84.594448
DUI,20131722,06/21/2013 - 2:13am,6/21/13,OPER MTR VEH U/INFLU ALC/DRUGS/ETC..08(AGG CIRCUM) 2ND/M; FAILURE TO WEAR SEATBELT,No,Cleared By Arrest,NICHOLASVILLE ROAD,37.993393,-84.522661
DUI,20130002,01/01/2013 - 1:10am,1/1/13,OPER MTR VEHICLE U/INFLU ALC/DRUGS/ETC..08(AGG CIRCUM)/M; POSS OF OPEN ALC BEVERAGE CONT IN MOTOR VEHICLE PROHIBITED,No,Cleared By Arrest,NICHOLASVILLE ROAD,37.993393,-84.522661
DUI,20142623,09/25/2014 - 12:11am,9/25/14,"Disregarding Traffic Cont Dev-Traffic Light; Reckless Driving; Fleeing or Evading Police, 2nd Degree (Motor Vehicle); Drug Paraphernalia-Buy/Possess; Carrying a Concealed Weapon; Oper Mtr Veh U/Influ Alc/Drugs/Etc..08 (Agg Circum), 2nd Off",No,Cleared By Arrest,NICHOLASVILLE ROAD,37.993393,-84.522661
Criminal Mischief,2013098879,07/01/2013 - 11:00am,7/3/13,CRIMINAL MISCHIEF 3RD/M,No,Closed - Lexington Police Report,101 PROSPEROUS PL,38.00103,-84.444917
DUI,20132820,10/12/2013 - 4:18pm,10/12/13,"DISREGARD SIGNALS FROM OFFICERS DIRECTING TRAFFIC/M, LEAVING SCENE OF ACCIDENT-FAILURE TO RENDER AID OR ASSISTANCE/M, WANTON ENDANGERMENT 2ND - POLICE OFFICER/M, OPER MTR VEHICLE U/INFLU ALC/DRUGS/ETC .08 (AGG CIRCUM) 1ST/M, POSS OF OPEN ALC BEVERAGE IN MOTOR VEH PROHIBITED, FAILURE TO PRODUCE INSURANCE CARD",No,Cleared By Arrest,ALUMNI DR,38.002331,-84.480422
DUI,20130011,01/02/2013 - 2:39am,1/2/13,OPER MTR VEHICLE U/INFLU ALC/DRUGS/ETC..08(AGG CIRCUM)/M,No,Cleared By Arrest,ALUMNI DRIVE,38.002331,-84.480422
DUI,20143578,12/28/2014 - 3:03am,12/28/14,"CARELESS DRIVING/V, OPER MTR VEHICLE U/INFLU ALC/DRUGS/ETC. .08 (AGG CIRCUM) 1ST OFF/M.",No,Cleared By Arrest,Alumni Dr,38.002331,-84.480422
DUI,20143575,12/27/2014 - 11:14pm,12/27/14,"DRIVING TOO FAST FOR TRAFFIC CONDITIONS/V, CARELESS DRIVING/V, OPER MTR VEHICLE U/INFLUENCE ALC/DRUGS/ETC. .08-1ST OFF/M.",No,Cleared By Arrest,Alumni Dr,38.002331,-84.480422
DUI,20143084,11/05/2014 - 12:35am,11/5/14,"CARELESS DRIVING, OPER MOTOR VEHICLE U/INFLU ALCOHOL <21 YOA",No,Cleared By Arrest,ALUMNI DR,38.002331,-84.480422
DUI,20142844,10/12/2014 - 3:41pm,10/12/14,"OPER MTR VEHICLE U/INFLUENCE ALC/DRUGS/ETC .08 1ST OFF/M, DRUG PARAPHERNALIA - BUY/POSSESS/M",No,Cleared By Arrest,ALUMNI DR,38.002331,-84.480422
DUI,20152836,12/04/2015 - 11:30pm,12/4/15,"OPER MTR VEHICLE U/INFLU ALC/DRUGS/ETC. .08 (AGG CIRCUM) 1ST OFF/M, FAILURE TO ILLUMINATE HEAD LAMPS",No,Cleared By Arrest,ALUMNI DR,38.002331,-84.480422
DUI,20152639,11/09/2015 - 4:38pm,11/9/15,"OPER MTR VEHICLE U/INFLU ALC/DRUGS/ETC .08 (AGG CIRCUM) 1ST OFFENSE/M, DRUG PARAPHERNALIA - BUY/POSSESS/M, POSS CONT SUB 1ST DEG 1ST OFF (HEROIN)/F",No,Cleared By Arrest,ALUMNI DR,38.002331,-84.480422
DUI,20152385,10/15/2015 - 7:10pm,10/15/15,OPER MTR VEHICLE U/INFLUENCE ALC/DRUGS/ETC .08 (AGG CIRCUM) - 1ST OFF/M,No,Cleared By Arrest,ALUMNI DR,38.002331,-84.480422
Motor Vehicle Theft,20151054,05/05/2015 - 12:45am,5/5/15,"TBUT OR DISP AUTO - $500 OR MORE BUT U/$10,000/F, TBUT OR DISP AUTO - $10,000 OR MORE BUT U/$1,000,000/F, FLEEING OR EVADING POLICE 2ND DEGREE (ON FOOT) X2, CRIMINAL TRESPASSING 2ND DEGREE/M X2, RECEIVING STOLEN PROPERTY U/$500/M, CARRYING A CONCEALED WEAPON/M",No,Cleared By Arrest,ALUMNI DR,38.002331,-84.480422
Theft,20152375,10/09/2015 - 4:30pm,10/14/15,TBUT OR DISP FROM BUILDING U/$500/M,No,Open,2355 HUGUENARD DR,38.006062,-84.523343
Drug Violations,20140715,03/21/2014 - 2:41am,3/21/14,"Careless Driving/V, Drug Paraphernalia-buy/possess/M, DUI/M, Failure to Produce Insurance Card/V.",No,Cleared By Arrest,TATES CREEK RD & OLD MT. TABOR,38.008217,-84.496002
DUI,20141044,04/22/2014 - 2:38am,4/22/14,OPER MTR VEHICLE U/INFLU ALC/DRUGS/ETC .08 (AGG CIRCUM0 1ST/M,No,Cleared By Arrest,NICHOLASVILLE RD & GOODRICH AVE,38.01297,-84.51603
DUI,20132100,08/10/2013 - 3:03am,8/10/13,OPER MTR VEHICLE U/INFLUENCE ALC/DRUGS/ETC .08 1ST/M,No,Cleared By Arrest,ALUMNI DR & TATES CREEK RD,38.013425,-84.495304
DUI,2013069805,05/16/2013 - 2:49am,5/17/13,"DUI ALC/DRUGS/ECT 1ST W/AGG CIRCUMSTANCES, SPEEDING 26 MPH OVER OR GREATER",No,Closed - Lexington Police Report,TATES CREEK RD & ALUMNI DR,38.013425,-84.495304
Drug Violations,2013050108,04/10/2013 - 7:42pm,4/16/13,TRAFF CONT SUB W/IN 1000 FEET OF SCHOOL,No,Closed - Lexington Police Report,ALUMNI DR & TATES CREEK RD,38.013425,-84.495304
DUI,2012205988,12/28/2012 - 2:27am,1/2/13,"DUI ALC/DRUGS/ECT 1ST W/AGG CIRCUMSTANCES, FAILURE TO ILLUMINATE HEAD LAMPS",No,Closed - Lexington Police Report,TATES CREEK RD & ALUMNI DR,38.013425,-84.495304
DUI,2014029455,02/22/2014 - 2:29am,2/25/14,DUI ALC/DRUGS/ECT 1ST W/AGG CIRCUMSTANCES,No,Closed - Lexington Police Report,TATES CREEK RD & ALUMNI DR,38.013425,-84.495304
All Other Offenses,20140283,02/02/2014 - 4:26am,2/2/14,"SPEEDING 17 MPH OVER LIMIT, FLEEING OR EVADING POLICE 2ND DEGREE (MOTOR VEHICLE)/M, FLEEING OR EVADING POLICE 2ND DEGREE (ON FOOT)/M, OPERATING ON SUS OR REV OPER LICENSE/M",No,Open,ALUMNI DR & TATES CREEK RD,38.013425,-84.495304
DUI,20140004,01/01/2014 - 1:38am,1/1/14,OPER MTR VEHICLE U/INFLU ALC/DRUGS/ETC .08 (AGG CIRCUM) 1ST/M,No,Cleared By Arrest,TATES CREEK RD & ALUMNI DR,38.013425,-84.495304
Drug Violations,2015179205,10/18/2015 - 12:30am,10/20/15,"DUI ALC/DRUGS/ETC 3RD OFFENSE, POSS OF MARIJUANA, FAILURE OF OWNER TO MAINTAIN REQ INSURANCE 2ND",No,Closed - Lexington Police Report,ALUMNI DR & TATES CREEK RD,38.013425,-84.495304
All Other Offenses,2015170700,10/03/2015 - 11:11pm,10/3/15,"WANTON ENDANGERMENT 1ST/F, FLEEING OR EVADING POLICE 1ST DEGREE (MOTOR VEHICLE)/F",No,Closed - Lexington Police Report,ALUMNI DR & TATES CREEK RD,38.013425,-84.495304
Drug Violations,20151001,04/26/2015 - 11:49pm,4/26/15,"POSS OF MARIJUANA/M, DRUG PARAPHERNALIA - BUY/POSSESS/M",No,Citation issued,ALUMNI DR & TATES CREEK RD,38.013425,-84.495304
DUI,20131934,07/20/2013 - 3:07am,7/20/13,"OPER MTR VEHICLE U/INFLU ALC/DRUGS/ETC .08 (AGG CIRCUM) 1ST/M, CARELESS DRIVING, IMPROPER DISPLAY OF REGISTRATION PLATES, POSS OF OPEN ALC BEVERAGE CONT IN MOTOR VEH PROHIBITED",No,Cleared By Arrest,PENMOKEN PARK & NICHOLASVILLE RD,38.015972,-84.514982
DUI,20140594,03/08/2014 - 8:22pm,3/8/14,"OPER MTR VEHICLE U/INFLUENCE ALC/DRUGS/ETC .08 2ND OFF/M, CARELESS DRIVING, POSS OF OPEN ALC BEVERAGE CONT IN MOTOR VEH PROHIBITED, DRIVING ON DUI SUSPENDED LICENSE 1ST OFFENSE/M, PRESCRIPTION CONT SUB NOT PROPER CONTAIN 1ST OFF/M, DRUG PARAPHERNALIA - BUY/POSSESS/M",No,Cleared By Arrest,NICHOLASVILLE RD & PENMOKEN PARK,38.015972,-84.514982
DUI,20131376,05/13/2013 - 10:47pm,5/13/13,"OPER MTR VEHICLE U/INFLUENCE ALC/DRUGS/ETC .08 1ST/M, FAILURE TO WEAR SEAT BELTS, POSS OPEN ALC CONT IN MTR VEH PROHIBITED",No,Cleared By Arrest,NICHOLASVILLE RD & JOHNSTON ST,38.016148,-84.514918
Drug Violations,20130665,03/06/2013 - 4:33am,3/6/13,POSSESSION OF A CONTROLLED SUBSTANCE/M,No,Open,NICHOLASVILLE RD & ROSEMONT GARDEN,38.016933,-84.514639
DUI,20140696,03/18/2014 - 1:58am,3/18/14,OPER MTR VEHICLE U/INFLUENCE ALC/DRUGS/ETC. .08-1ST OFF/M SPEEDING 12 MPH OVER LIMIT/V,No,Cleared By Arrest,NICHOLASVILLE RD & ROSEMONT GARDEN,38.016933,-84.514639
Drug Violations,20140522,03/01/2014 - 2:47am,3/1/14,"OPER MTR VEHICLE U/INFLUENCE ALC/DRUGS/ETC .08 2ND OFF/M, DRUG PARAPHERNALIA - BUY/POSSESS/M X2, CARELESS DRIVING, POSS CONT SUB 1ST DEG 1ST OFF (LSD)/F, TRAF IN MARIJUANA (LESS THAN 8 OZ) 1ST OFF/M, TAMPERING WITH PHYSICAL EVIDENCE/F, PUBLIC INTOXICATION-CONTROLL SUBJ (EXCLUDES ALCOHOL)/M, POSS CONT SUB 1ST DEG 1ST OFF (DRUG UNSPECIFIED)/F, POSS OF MARIJUANA/M,",No,Cleared By Arrest,NICHOLASVILLE RD & ROSEMONT GARDEN,38.016933,-84.514639
DUI,20150083,01/11/2015 - 1:37am,1/11/15,"CARELESS DRIVING, POSS OF MARIJUANA/M, DRUG PARAPHERNALIA - BUY/POSSESS/M, OPER MTR VEHICLE U/INFLU ALC/DRUGS/ETC .08 (AGG CIRCUM) 1ST OFF/M",No,Cleared By Arrest,NICHOLASVILLE RD & ROSEMONT GARDEN,38.016933,-84.514639
DUI,20142203,08/18/2014 - 12:00am,8/18/14,"DISREGARDING TRAFFIC CONT DEV-TRAFFIC LIGHT, OPER MOTOR VEHICLE U/INFLU ALCOHOL < 21 YOA, TRAF IN MARIJUANA (LESS THAN 8 OZ) 1ST OFF/M, DRUG PARAPHERNALIA - BUY/POSSESS/M",No,Cleared By Arrest,PENMOKEN PARK,38.017298,-84.51927
Drug Violations,20143069,11/03/2014 - 12:22am,11/3/14,"SPEEDING 14 MPH OVER LIMIT, TRAF IN MARIJUANA (LESS THAN 8 OZ) 1ST OFF/M",No,Cleared By Arrest,ALUMNI DR & COLLEGE WAY,38.01747,-84.503931
DUI,20141380,05/22/2014 - 11:59pm,5/22/14,"SPEEDING 11 MPH OVER LIMIT, OPER MTR VEHICLE U/INFLUENCE ALC/DRUGS/ETC .08 1ST/M",No,Cleared By Arrest,ALUMNI DR & COLLEGE WAY,38.01747,-84.503931
DUI,20140381,02/14/2014 - 2:38am,2/14/14,"OPER MTR VEH U/INFLU ALC/DRUG/ETC .08 (AGG CIRCUM) 2ND/M, POSS OF OPEN ALC BEVERAGE CONT IN MOTOR VEH PROHIBITED, DISREGARDING STOP SIGN",No,Cleared By Arrest,ALUMNI DR & COLLEGE WAY,38.01747,-84.503931
DUI,20140010,01/02/2014 - 4:14am,1/2/14,"ONE HEADLIGHT, OPER MTR VEHICLE U/INFLUENCE ALC/DRUGS/ETC .08 1ST/M",No,Cleared By Arrest,NICHOLASVILLE RD & SUBURBAN CT,38.017894,-84.514291
DUI,20150569,03/05/2015 - 12:09am,3/5/15,"FAILURE TO ILLUMINATE HEAD LAMPS, FOLLOWING ANOTHER VEHICLE TOO CLOSELY, POSS OF OPEN ALC BEVERAGE CONT IN MOTOR VEH PROHIBITED, OPER MTR VEHICLE U/INFLUENCE ALC/DRUGS/ETC .08 - 2ND OFF/M",No,Cleared By Arrest,NICHOLASVILLE RD & SUBURBAN CT,38.017894,-84.514291
Theft,20132876,10/12/2013 - 7:00pm,10/17/13,TBUT OR DISP CONTENTS FROM VEHICLE UNDER $500/M,No,Closed,300 ALUMNI DR,38.018062,-84.507518
Theft,20131811,06/18/2013 - 8:00am,7/1/13,THEFT OF PROP MISLAID OR DELIVER BY MISTAKE/M,No,Closed,300 ALUMNI DR,38.018062,-84.507518
All Other Offenses,20131779,02/02/2012 - 12:00am,6/28/13,THEFT OF IDENTITY OF ANOTHER W/O CONSENT/F,No,Open,300 ALUMNI DR,38.018062,-84.507518
Theft,20143287,11/26/2014 - 7:30am,11/26/14,"TBUT OR DISP ALL OTHERS $500 OR MORE BUT U/$10,000/F",No,Open,300 ALUMNI DR,38.018062,-84.507518
Theft,2014175582,10/17/2014 - 4:00pm,10/22/14,"TBUT OR DISP CONTENTS FROM VEHICLE $500 OR MORE BUT U/$10,000/F",No,Closed - Lexington Police Report,300 ALUMNI DR,38.018062,-84.507518
Criminal Mischief,20142542,09/17/2014 - 11:30am,9/17/14,Criminal Mischief 2nd/m,No,Closed,300 Alumni Dr,38.018062,-84.507518
Harassment,201429383,08/23/2014 - 12:00pm,9/11/14,Harassment Physical Contact/m,No,Closed,300 Alumni Dr,38.018062,-84.507518
Criminal Mischief,CSA20141227,09/04/2014 - 8:19am,9/4/14,Criminal Mischief 3rd/m,No,Closed - CSA,300 Alumni Dr,38.018062,-84.507518
Assault,20142356,08/31/2014 - 3:00am,8/31/14,"ASSAULT 4TH DEGREE (MINOR INJURY)/M, TERRORISTIC THREATENING 3RD/M, MENACING/M",No,Closed,300 ALUMNI DR,38.018062,-84.507518
Assault,CSA20141168,08/23/2014 - 12:00am,8/25/14,ASSAULT,No,Closed - CSA,300 ALUMNI DR,38.018062,-84.507518
Theft,CSA20140777,04/15/2014 - 12:00am,6/17/14,TBUT OR DISP OF BICYCLE,No,Closed - CSA,300 ALUMNI DR,38.018062,-84.507518
Theft,CSA20140778,04/27/2014 - 12:00am,6/17/14,TBUT OR DISP OF BICYCLE,No,Closed - CSA,300 ALUMNI DR,38.018062,-84.507518
Theft,CSA20140779,05/18/2014 - 12:00am,6/17/14,TBUT OR DISP BICYCLE,No,Closed - CSA,300 ALUMNI DR,38.018062,-84.507518
Theft,20140971,04/14/2014 - 6:00pm,4/15/14,"TBUT OR DISP BICYCLES $500 OR MORE BUT U/$10,000/F",No,Closed,300 ALUMNI DR,38.018062,-84.507518
Criminal Mischief,20140721,03/21/2014 - 12:30pm,3/21/14,CRIMINAL MISCHIEF 2ND/M,No,Closed,300 ALUMNI DR,38.018062,-84.507518
Assault,20140198,01/24/2014 - 1:45pm,1/24/14,ASSAULT 4TH (DOMESTIC VIOLENCE) NO VISIBLE INJURY X2/M,Yes,Closed,300 ALUMNI DR,38.018062,-84.507518
Harassment,20152348,10/11/2015 - 1:50am,10/11/15,HARASSMENT (NO PHYSICAL CONTACT),Yes,Open,300 ALUMNI DR,38.018062,-84.507518
Theft,20151799,08/12/2015 - 8:00am,8/14/15,TBUT OR DISP BICYCLES U/$500/M,No,Closed,300 ALUMNI DR,38.018062,-84.507518
Theft,20151688,07/30/2015 - 10:00pm,7/31/15,TBUT OR DISP ALL OTHERS U/$500/m,No,Closed,300 ALUMNI DR,38.018062,-84.507518
Criminal Mischief,20151092,05/08/2015 - 8:30am,5/8/15,CRIMINAL MISCHIEF 3RD/M,No,Closed,300 ALUMNI DR,38.018062,-84.507518
All Other Offenses,2015072199,04/29/2015 - 8:00am,5/7/15,"FRAUD USE OF CREDIT CARD $500 < $10,000/F",Yes,Closed - Lexington Police Report,300 ALUMNI DR,38.018062,-84.507518
Theft,20150131,01/17/2015 - 1:00pm,1/20/15,"TBUT OR DISP BICYCLES U/$500/M, CRIMINAL MISCHIEF 3RD/M",No,Closed,300 ALUMNI DR,38.018062,-84.507518
Criminal Trespass,2013047233,04/05/2013 - 12:29pm,4/8/13,CRIMINAL TRESPASS,No,Closed - Lexington Police Report,2400 GREATSTONE PT,38.018336,-84.548523
Theft,20130306,01/09/2013 - 7:00am,1/29/13,THEFT OF PROP MISLAID OR DELIVER BY MISTAKE,No,Closed,2400 GREATSTONE PT,38.018336,-84.548523
Theft,20132323,09/03/2013 - 10:00am,9/3/13,TBUT OR DISP ALL OTHERS/F,No,Open,SHAWNEETOWN DR,38.018689,-84.510217
Burglary,20133024,11/01/2013 - 10:00pm,11/4/13,"BURGLARY 3RD/F, CRIMINAL MISCHIEF 3RD/M",No,Open,560 WILDCAT CT,38.018792,-84.501172
Motor Vehicle Theft,20132674,09/28/2013 - 12:00pm,9/30/13,"TBUT OR DISP AUTO - $500 OR MORE BUT U/$10,000/F",No,Closed,560 WILDCAT CT,38.018792,-84.501172
Criminal Mischief,20131504,05/23/2013 - 7:00am,5/27/13,CRIMINAL MISCHIEF 3RD/M,No,Closed,558 WILDCAT CT,38.018792,-84.501172
Theft,20131426,05/19/2013 - 12:30pm,5/19/13,"TBUT OR DISP CONTENTS FROM AUTO/F, CRIMINAL MISCHIEF 3RD/M",No,Closed,558 WILDCAT CT,38.018792,-84.501172
Criminal Mischief,20141844,07/11/2014 - 2:00pm,7/14/14,CRIMINAL MISCHIEF 1ST/F,No,Closed,421 WILDCAT COURT,38.018792,-84.501172
Alcohol Intoxication,20152555,10/31/2015 - 8:50pm,10/31/15,"ALCOHOL INTOX IN A PUBLIC PLACE (1ST & 2ND OFFENSE), PERSON 18-20 POSS/PURCH/ATT PURCH/HAVE ANOTHER PURCH ALCOHOL, FLEEING OR EVADING POLICE, 2ND DEGREE (ON FOOT)/M",No,Open,550 WILDCAT CT,38.018792,-84.501172
Liquor Law Violation,20152281,10/03/2015 - 6:00pm,10/3/15,PERSON < 18 POSS/PURCH/ATT PURCH/HAVE ANOTHER PURCH ALCOHOL x2; DISPLAY OR POSS OF CANCELLED OR FICTITIOUS OL/M,No,Citation issued,550 WILDCAT CT,38.018792,-84.501172
Theft,2012031684,02/28/2012 - 11:30am,8/12/13,TBUT DISP FROM AUTO/M,No,Closed - Lexington Police Report,500 ALUMNI DR,38.019103,-84.505272
Drug Violations,2013102194,07/06/2013 - 12:45am,7/6/13,"POSSESSION OF MARIJUANA/M, POSSESSION OF CONTROLLED SUBSTANCE",No,Closed - Lexington Police Report,500 ALUMNI DR,38.019103,-84.505272
All Other Offenses,20143083,11/04/2014 - 3:10pm,11/4/14,"INDECENT EXPOSURE 1ST DEGREE, 1ST OFFENSE/M",No,Open,500 ALUMNI DR,38.019103,-84.505272
Drug Violations,20142887,10/17/2014 - 12:43am,10/17/14,POSS OF MARIJUANA/M,No,Citation issued,500 ALUMNI DR,38.019103,-84.505272
Alcohol Intoxication,201428325,09/02/2014 - 12:33am,9/2/14,Drinking in a Public Place/M,No,Closed - Disciplinary Referral,500 Alumni Dr,38.019103,-84.505272
Drug Violations,201412833,04/18/2014 - 11:37pm,4/18/14,DRUG PARAPHERNALIA - BUY/POSSESS X4,No,Closed - Disciplinary Referral,500 ALUMNI DR,38.019103,-84.505272
Drug Violations,20140636,03/12/2014 - 12:24am,3/12/14,DRUG PARAPHERNALIA-BUY/POSSESS/M,No,Citation issued,500 ALUMNI DR,38.019103,-84.505272
Sex Offenses,20152910,12/16/2015 - 5:00pm,12/17/15,SEXUAL ABUSE 3RD DEGREE,No,Open,500 ALUMNI DR,38.019103,-84.505272
Theft,20152779,11/28/2015 - 12:00pm,11/28/15,"TBUT OR DISP CONTENTS FROM VEHICLE UNDER $500/M, CRIMINAL MISCHIEF 2ND DEGREE/M, TBUT OR DISP CONTENTS FROM VEHICLE $500 OR MORE BUT U/$10,000/F, CRIMINAL MISCHIEF 3RD DEGREE/M",No,Open,500 ALUMNI DR,38.019103,-84.505272
Theft,20152781,11/28/2015 - 9:30am,11/28/15,TBUT OR DISP CONTENTS FROM VEHICLE UNDER $500/M,No,Closed,500 ALUMNI DR,38.019103,-84.505272
Assault,20151902,08/26/2015 - 5:45pm,8/26/15,ASSAULT 4TH DEGREE (CHILD ABUSE)/M,No,Cleared By Arrest,500 ALUMNI DR,38.019103,-84.505272
Theft,20151410,06/25/2015 - 2:00pm,6/25/15,TBUT OR DISP CONTENTS FROM VEHICLE UNDER $500/M,No,Closed,500 ALUMNI DR,38.019103,-84.505272
Theft,20150729,03/24/2015 - 6:30pm,3/24/15,"CRIMINAL MISCHIEF 3RD/M, TBUT OR DISP CONTENTS FROM VEHICLE UNDER $500/M",No,Open,500 ALUMNI DR,38.019103,-84.505272
Theft,20150497,02/26/2015 - 8:30am,2/26/15,"CRIMINAL MISCHIEF 3RD/M, TBUT CONTENTS FROM AUTO $500 OR MORE BUT U/$10,000/F",No,Open,500 ALUMNI DR,38.019103,-84.505272
Drug Violations,20150259,01/30/2015 - 11:25pm,1/30/15,"POSS OF MARIJUANA/M, DRUG PARAPHERNALIA - BUY/POSSESS/M",No,Citation issued,500 ALUMNI DR,38.019103,-84.505272
Drug Violations,20150251,01/29/2015 - 10:38pm,1/29/15,POSS OF MARIJUANA/M; DRUG PARAPHERNALIA-BUY/POSSESS/M,No,Citation issued,500 ALUMNI DR,38.019103,-84.505272
Assault,20133333,12/08/2013 - 7:00pm,12/8/13,ASSAULT 4TH (MINOR INJURY)/M,No,Unfounded,UNIVERSITY CT,38.019482,-84.510599
Theft,2014138885,08/16/2014 - 6:00pm,8/18/14,"TBUT OR DISP ALL OTHERS $500 OR MORE BUT U/$10,000/F",No,Closed - Lexington Police Report,UNIVERSITY CT,38.019482,-84.510599
DUI,20150213,01/26/2015 - 2:53am,1/26/15,"LEAVING SCENE OF ACCIDENT-FAILURE TO RENDER AID OR ASSISTANCE/M, OPER MTR VEHICLE U/INFLUENCE ALC/DRUGS/ETC .08 - 1ST OFF/M, POSS CONT SUB 1ST DEG 1ST OFF (COCAINE)/F",No,Cleared By Arrest,UNIVERSITY CT,38.019482,-84.510599
All Other Offenses,2013192784,12/02/2013 - 11:30pm,12/2/13,"RECKLESS DRIVING, FLEEING/EVADING POLICE 1ST MOTOR VEHICLE, WANTON ENDANGERMENT 1ST, RECEIVING STOLEN PROPERTY (FIREARM), POSS OF HANDGUN BY MINOR 1ST, TAMPERING W/PHYSICAL EVIDENCE, TRAFF IN CONT SUB, 1D1O LESS4GMS COCAINE",No,Closed - Lexington Police Report,TATES CREEK RD & MONTCLAIR DR,38.019568,-84.494324
DUI,20131465,05/24/2013 - 3:29am,5/24/13,OPER MTR VEHICLE U/INFLUENCE ALC/DRUGS/ETC..08/M; CARELESS DRIVING; POSS OF OPEN ALC BEVERAGE CONT IN MOTOR VEH PROHIBITED,No,Cleared By Arrest,SUBURBAN COURT,38.019884,-84.520693
Criminal Mischief,20133004,11/02/2013 - 5:22am,11/2/13,"CRIMINAL MISCHIEF 3RD/M, ALCOHOL INTOXICATION IN A PUBLIC PLACE (1ST & 2ND OFFENSE)",Yes,Cleared By Arrest,1608 UNIVERSITY CT,38.019937,-84.510232
Theft,20132489,09/14/2013 - 8:00am,9/16/13,THEFT OF MOTOR VEHICLE REGISTRATION PLATE/F,No,Closed,1608 UNIVERSITY CT,38.019937,-84.510232
Assault,CSA20130013,09/07/2013 - 12:00am,9/10/13,Domestic Violence Incident,Yes,Closed - CSA,1608 University Ct,38.019937,-84.510232
Criminal Mischief,20132135,08/14/2013 - 10:30am,8/14/13,CRIMINAL MISCHIEF 3RD/M,No,Closed,1608 UNIVERSITY CT,38.019937,-84.510232
Theft,20132138,08/13/2013 - 6:00pm,8/14/13,TBUT OR DISP BICYCLES/M,No,Closed,1608 UNIVERSITY CT,38.019937,-84.510232
Theft,20131182,04/24/2013 - 4:30pm,4/25/13,TBUT OR DISP FROM BUILDING/F,No,Open,1608 UNIVERSITY CT,38.019937,-84.510232
