Category,Case Number,Crime Date and Time,Report Date,Incident Description,Residential Occurance,Disposition,Location,Lat V Lookup,Lon V Lookup,lat,lon
Drug Violations,20133503,12/28/2013 - 12:40am,12/28/2013,"DRUG PARAPHERNALIA - BUY/POSSESS/M, POSS OF MARIJUANA/M",No,Closed,1000 SOUTH LIMESTONE ST,38.030065,-84.509419,38.030065,-84.509419
Assault,CSA20130146,12/28/2013 - 5:24pm,12/28/2013,ASSAULT 4TH,No,Closed - CSA,1350 BULL LEA RD,38.084885,-84.497802,38.084885,-84.497802
DUI,20133497,12/27/2013 - 2:10am,12/27/2013,"CARELESS DRIVING, OPER MTR VEHICLE U/INFLU ALC/DRUGS/ETC .08 (AGG CIRCUM) 1ST/M",No,Cleared By Arrest,SOUTH LIMESTONE ST & VIRGINIA AVE,38.034917,-84.508334,38.034917,-84.508334
DUI,20133498,12/27/2013 - 2:50am,12/27/2013,OPER MTR VEHICLE U/INFLU ALC/DRUGS/ETC .08 (AGG CIRCUM) 1ST/M,No,Cleared By Arrest,265 AVENUE OF CHAMPIONS,38.03853,-84.499909,38.038530,-84.499909
Harassment,20133500,12/27/2013 - 8:30am,12/27/2013,HARASSMENT (NO PHYSICAL CONTACT),No,Open,800 ROSE ST,38.03186,-84.508632,38.031860,-84.508632
Burglary,20133501,12/09/2013 - 8:00am,12/27/2013,BURGLARY 2ND/F,No,Open,508 ADMINISTRATION DR,38.038974,-84.506737,38.038974,-84.506737
Assault,CSA20130143,12/27/2013 - 10:50am,12/27/2013,ASSAULT 4TH,No,Closed - CSA,1350 BULL LEA RD,38.084885,-84.497802,38.084885,-84.497802
Assault,CSA20130144,12/27/2013 - 3:00pm,12/27/2013,ASSAULT 4TH,No,Closed - CSA,1350 BULL LEA RD,38.084885,-84.497802,38.084885,-84.497802
Criminal Mischief,CSA20130145,12/27/2013 - 5:25pm,12/27/2013,CRIMINAL MISCHIEF 3RD,No,Closed - CSA,1350 BULL LEA RD,38.084885,-84.497802,38.084885,-84.497802
DUI,2013203400,12/21/2013 - 2:50am,12/26/2013,DUI ALC/DRUGS/ECT 1ST/M,No,Closed - Lexington Police Report,EUCLID AVE & AYLESFORD PL,38.036361,-84.498133,38.036361,-84.498133
Criminal Mischief,20133494,12/14/2013 - 8:00am,12/26/2013,CRIMINAL MISCHIEF 3RD/M,No,Closed,COMPLEX DR,38.028831,-84.503485,38.028831,-84.503485
Assault,CSA20130142,12/26/2013 - 10:44pm,12/26/2013,ASSAULT 4TH,No,Closed - CSA,1350 BULL LEA RD,38.084885,-84.497802,38.084885,-84.497802
Terroristic Threatening,CSA20130136,12/24/2013 - 10:05pm,12/25/2013,TERRORISTIC THREATENING 3RD,No,Closed - CSA,1350 BULL LEA RD,38.084885,-84.497802,38.084885,-84.497802
Terroristic Threatening,CSA20130137,12/24/2013 - 10:45pm,12/25/2013,TERRORISTIC THREATENING 3RD,No,Closed - CSA,1350 BULL LEA RD,38.084885,-84.497802,38.084885,-84.497802
Terroristic Threatening,CSA20130138,12/25/2013 - 12:15am,12/25/2013,TERRORISTIC THREATENING 3RD,No,Closed - CSA,1350 BULL LEA RD,38.084885,-84.497802,38.084885,-84.497802
Assault,CSA20130139,12/25/2013 - 11:00am,12/25/2013,ASSAULT 4TH,No,Closed - CSA,1350 BULL LEA RD,38.084885,-84.497802,38.084885,-84.497802
Assault,CSA20130140,12/25/2013 - 11:50am,12/25/2013,ASSAULT 4TH,No,Closed - CSA,1350 BULL LEA RD,38.084885,-84.497802,38.084885,-84.497802
Terroristic Threatening,CSA20130141,12/25/2013 - 6:46pm,12/25/2013,TERRORISTIC THREATENING 3RD,No,Closed - CSA,1350 BULL LEA RD,38.084885,-84.497802,38.084885,-84.497802
Alcohol Intoxication,20133487,12/24/2013 - 12:26am,12/24/2013,"ALCOHOL INTOXICATION IN A PUBLIC PLACE (1ST & 2ND OFFENSE), DISORDERLY CONDUCT 2ND/M",No,Cleared By Arrest,800 ROSE ST,38.03186,-84.508632,38.031860,-84.508632
Terroristic Threatening,20133490,12/24/2013 - 11:00pm,12/24/2013,TERRORISTIC THREATENING 3RD/M,No,Open,310 SOUTH LIMESTONE ST,38.042101,-84.5007,38.042101,-84.500700
Terroristic Threatening,CSA20130124,12/24/2013 - 12:54am,12/24/2013,TERRORISTIC THREATENING 3RD,No,Closed - CSA,1350 BULL LEA RD,38.084885,-84.497802,38.084885,-84.497802
Terroristic Threatening,CSA20130125,12/24/2013 - 2:25am,12/24/2013,TERRORISTIC THREATENING 3RD,No,Closed - CSA,1350 BULL LEA RD,38.084885,-84.497802,38.084885,-84.497802
Assault,CSA20130126,12/24/2013 - 7:25am,12/24/2013,ASSAULT 4TH,No,Closed - CSA,1350 BULL LEA RD,38.084885,-84.497802,38.084885,-84.497802
Criminal Mischief,CSA20130127,12/24/2013 - 11:15am,12/24/2013,CRIMINAL MISCHIEF 3RD,No,Closed - CSA,1350 BULL LEA RD,38.084885,-84.497802,38.084885,-84.497802
Criminal Mischief,CSA20130128,12/24/2013 - 8:45am,12/24/2013,CRIMINAL MISCHIEF 3RD,No,Closed - CSA,1350 BULL LEA RD,38.084885,-84.497802,38.084885,-84.497802
Assault,CSA20130129,12/24/2013 - 7:41am,12/24/2013,ASSAULT 4TH,No,Closed - CSA,1350 BULL LEA RD,38.084885,-84.497802,38.084885,-84.497802
Assault,CSA20130130,12/24/2013 - 9:50am,12/24/2013,ASSAULT 4TH,No,Closed - CSA,1350 BULL LEA RD,38.084885,-84.497802,38.084885,-84.497802
Assault,CSA20130131,12/24/2013 - 9:20am,12/24/2013,ASSAULT 4TH,No,Closed - CSA,1350 BULL LEA RD,38.084885,-84.497802,38.084885,-84.497802
Assault,CSA20130132,12/24/2013 - 1:15pm,12/24/2013,ASSAULT 4TH,No,Closed - CSA,1350 BULL LEA RD,38.084885,-84.497802,38.084885,-84.497802
Assault,CSA20130133,12/24/2013 - 3:40pm,12/24/2013,ASSAULT 4TH,No,Closed - CSA,1350 BULL LEA RD,38.084885,-84.497802,38.084885,-84.497802
Assault,CSA20130134,12/24/2013 - 6:05pm,12/24/2013,ASSAULT 4TH,No,Closed - CSA,1350 BULL LEA RD,38.084885,-84.497802,38.084885,-84.497802
Assault,CSA20130135,12/24/2013 - 7:10pm,12/24/2013,ASSAULT 4TH,No,Closed - CSA,1350 BULL LEA RD,38.084885,-84.497802,38.084885,-84.497802
Alcohol Intoxication,2013202696,12/20/2013 - 2:57am,12/23/2013,ALCOHOL INTOXICATION IN A PUBLIC PLACE (1ST & 2ND OFFENSE),No,Closed - Lexington Police Report,PINE ST & JERSEY ST,38.043064,-84.502761,38.043064,-84.502761
Assault,CSA20130119,12/22/2013 - 10:25pm,12/23/2013,ASSAULT 4TH,No,Closed - CSA,1350 BULL LEA RD,38.084885,-84.497802,38.084885,-84.497802
Assault,CSA20130120,12/22/2013 - 11:53pm,12/23/2013,ASSAULT 4TH,No,Closed - CSA,1350 BULL LEA RD,38.084885,-84.497802,38.084885,-84.497802
Theft,2013202768,12/13/2013 - 3:00pm,12/23/2013,"TBUT OR DISP ALL OTHERS OVER $500 BUT U/$10,000/F",No,Closed - Lexington Police Report,245 FOUNTAIN CT,#N/A,#N/A,#N/A,#N/A
Theft,20133478,12/20/2013 - 3:30pm,12/23/2013,TBUT OR DISP ALL OTHERS U/$500/M,No,Open,430 STADIUM VIEW,38.02018,-84.501885,38.020180,-84.501885
Criminal Trespass,20133486,12/23/2013 - 11:25pm,12/23/2013,CRIMINAL TRESPASSING 3RD,No,Cleared By Arrest,310 SOUTH LIMESTONE ST,38.042101,-84.5007,38.042101,-84.500700
Theft,20133477,12/20/2013 - 1:00pm,12/23/2013,TBUT OR DISP POCKETPICKING U/$500/M,No,Closed,310 SOUTH LIMESTONE ST,38.042101,-84.5007,38.042101,-84.500700
Assault,CSA20130121,12/23/2013 - 9:50am,12/23/2013,ASSAULT 4TH,No,Closed - CSA,1350 BULL LEA RD,38.084885,-84.497802,38.084885,-84.497802
Terroristic Threatening,CSA20130122,12/23/2013 - 10:30am,12/23/2013,TERRORISTIC THREATENING 3RD,No,Closed - CSA,1350 BULL LEA RD,38.084885,-84.497802,38.084885,-84.497802
Assault,CSA20130123,12/23/2013 - 1:15pm,12/23/2013,ASSAULT 4TH,No,Closed - CSA,1350 BULL LEA RD,38.084885,-84.497802,38.084885,-84.497802
DUI,20133464,12/22/2013 - 2:41am,12/22/2013,"NO REGISTRATION PLATES, OPER MTR VEHICLE U/INFLUENCE ALC/DRUGS/ETC .08 2ND/M, FAILURE TO PRODUCE INSURANCE CARD, OPERATING ON SUS OR REV OPER LICENSE/M",No,Cleared By Arrest,SOUTH LIMESTONE ST & VIRGINIA AVE,38.034917,-84.508334,38.034917,-84.508334
Drug Violations,20133470,12/22/2013 - 8:02pm,12/22/2013,"DISREGARDING STOP SIGN, POSS OF MARIJUANA/M, DRUG PARAPHERNALIA - BUY/POSSESS/M",No,Citation issued,HILLTOP AVE & UNIVERSITY DR,38.032171,-84.502576,38.032171,-84.502576
Assault,CSA20130116,12/21/2013 - 11:35pm,12/22/2013,ASSAULT 4TH,No,Closed - CSA,1350 BULL LEA RD,38.084885,-84.497802,38.084885,-84.497802
Criminal Mischief,CSA20130117,12/22/2013 - 5:34pm,12/22/2013,CRIMINAL MISCHIEF 3RD,No,Closed - CSA,1350 BULL LEA RD,38.084885,-84.497802,38.084885,-84.497802
Assault,CSA20130118,12/22/2013 - 8:30pm,12/22/2013,ASSAULT 4TH,No,Closed - CSA,1350 BULL LEA RD,38.084885,-84.497802,38.084885,-84.497802
Drug Violations,20133451,12/21/2013 - 12:30am,12/21/2013,"UNLAWFUL TRANSACTION W/MINOR 3RD DEGREE/M, POSS OF MARIJUANA/M, DRUG PARAPHERNALIA-BUY/POSSESS/M, PMT UNLICENSED OPERATOR TO OPERATE MOTOR VEHICLE/M",No,Citation issued,UNIVERSITY DR & HUGUELET DR,38.031422,-84.503859,38.031422,-84.503859
Alcohol Intoxication,20133453,12/21/2013 - 2:59am,12/21/2013,"ALCOHOL INTOXICATION IN A PUBLIC PLACE (1ST & 2ND OFFENSE) X3, CRIMINAL TRESPASSING 3RD X4, FLEEING OR EVADING POLICE 2ND DEGREE (ON FOOT)/M X2",No,Cleared By Arrest,ROSE ST & COLUMBIA AVE,38.035712,-84.502767,38.035712,-84.502767
DUI,20133454,12/21/2013 - 2:50am,12/21/2013,"CARELESS DRIVING, OPER MTR VEHICLE U/INFLU ALC/DRUGS/ETC .08 (AGG CIRCUM) 1ST/M",No,Cleared By Arrest,NICHOLASVILLE RD & ALUMNI DR,38.023087,-84.512476,38.023087,-84.512476
Criminal Mischief,CSA20130114,12/21/2013 - 5:54am,12/21/2013,CRIMINAL MISCHIEF 3RD,No,Closed - CSA,1350 BULL LEA RD,38.084885,-84.497802,38.084885,-84.497802
Terroristic Threatening,CSA20130115,12/21/2013 - 3:50pm,12/21/2013,TERRORISTIC THREATENING 3RD,No,Closed - CSA,1350 BULL LEA RD,38.084885,-84.497802,38.084885,-84.497802
DUI,20133445,12/20/2013 - 2:40am,12/20/2013,"CARELESS DRIVING, OPER MTR VEHICLE U/INFLU ALC/DRUGS/ETC .08 (AGG CIRCUM) 1ST/M",No,Cleared By Arrest,NICHOLASVILLE RD & ALUMNI DR,38.023087,-84.512476,38.023087,-84.512476
Harassment,20133455,12/20/2013 - 9:55pm,12/20/2013,HARASSMENT - PHYSICAL CONTACT - NO INJURY/M,No,Closed - Cleared By Exception,1000 SOUTH LIMESTONE ST,38.030065,-84.509419,38.030065,-84.509419
Burglary,20133446,12/19/2013 - 6:00pm,12/20/2013,"BURGLARY 3RD/F, CRIMINAL MISCHIEF 1ST/F",No,Closed,344 LEXINGTON AVE,38.040513,-84.500399,38.040513,-84.500399
Criminal Mischief,CSA20130113,12/20/2013 - 9:10pm,12/20/2013,CRIMINAL MISCHIEF 3RD,No,Closed - CSA,1350 BULL LEA RD,38.084885,-84.497802,38.084885,-84.497802
Alcohol Intoxication,20133437,12/19/2013 - 12:40am,12/19/2013,"ALCOHOL INTOXICATION IN A PUBLIC PLACE (1ST & 2ND OFFENSE), REPRESENTING AS ONES OWN ANOTHERS OPER LIC/M",No,Cleared By Arrest,EAST MAXWELL ST & SOUTH MLK BLVD,38.042159,-84.499875,38.042159,-84.499875
Alcohol Intoxication,20133438,12/19/2013 - 1:42am,12/19/2013,ALCOHOL INTOXICATION IN A PUBLIC PLACE (1ST & 2ND OFFENSE),No,Cleared By Arrest,325 SOUTH LIMESTONE ST,38.043009,-84.502221,38.043009,-84.502221
Alcohol Intoxication,2013201396,12/18/2013 - 3:41am,12/19/2013,ALCOHOL INTOXICATION IN A PUBLIC PLACE (1ST & 2ND OFFENSE),No,Closed - Lexington Police Report,535 SOUTH UPPER ST,38.042626,-84.505064,38.042626,-84.505064
Criminal Mischief,CSA20130108,12/19/2013 - 1:27am,12/19/2013,CRIMINAL MISCHIEF 3RD,No,Closed - CSA,1350 BULL LEA RD,38.084885,-84.497802,38.084885,-84.497802
Assault,20133439,12/19/2013 - 9:00am,12/19/2013,ASSAULT 4TH (MINOR INJURY)/M,No,Closed - Cleared By Exception,310 SOUTH LIMESTONE ST,38.042101,-84.5007,38.042101,-84.500700
Assault,CSA20130109,12/19/2013 - 12:05pm,12/19/2013,ASSAULT 4TH,No,Closed - CSA,1350 BULL LEA RD,38.084885,-84.497802,38.084885,-84.497802
Assault,CSA20130110,12/19/2013 - 2:25pm,12/19/2013,ASSAULT 4TH,No,Closed - CSA,1350 BULL LEA RD,38.084885,-84.497802,38.084885,-84.497802
Assault,CSA20130111,12/19/2013 - 4:25pm,12/19/2013,ASSAULT 4TH,No,Closed - CSA,1350 BULL LEA RD,38.084885,-84.497802,38.084885,-84.497802
Assault,CSA20130112,12/19/2013 - 9:30pm,12/19/2013,ASSAULT 4TH,No,Closed - CSA,1350 BULL LEA RD,38.084885,-84.497802,38.084885,-84.497802
Drug Violations,20133432,12/18/2013 - 2:57am,12/18/2013,"REAR LICENSE NOT ILLUMINATED, NO OPERATORS-MOPED LICENSE/M, TRAFF CON SUB WITHIN 1,000 FEET OF SCHOOL/F X2, TAMPERING WITH PHYSICAL EVIDENCE/F X3, CARRYING A CONCEALED DEADLY WEAPON/M, TRAF IN MARIJUANA (LESS THAN 8 OZ) 2ND > OFF/F",No,Cleared By Arrest,TRANSYLVANIA PARK & EUCLID AVE,38.035488,-84.497154,38.035488,-84.497154
Theft,20133431,12/11/2013 - 12:00pm,12/18/2013,TBUT OR DISP BICYCLES U/$500/M,No,Closed,512 ADMINISTRATION DR,38.037445,-84.505398,38.037445,-84.505398
Assault,CSA20130104,12/18/2013 - 8:15am,12/18/2013,ASSAULT 4TH,No,Closed - CSA,1350 BULL LEA RD,38.084885,-84.497802,38.084885,-84.497802
Assault,CSA20130105,12/18/2013 - 4:28pm,12/18/2013,ASSAULT 4TH,No,Closed - CSA,1350 BULL LEA RD,38.084885,-84.497802,38.084885,-84.497802
Assault,CSA20130106,12/18/2013 - 4:31pm,12/18/2013,ASSAULT 4TH,No,Closed - CSA,1350 BULL LEA RD,38.084885,-84.497802,38.084885,-84.497802
Assault,CSA20130107,12/18/2013 - 8:55pm,12/18/2013,ASSAULT 4TH,No,Closed - CSA,1350 BULL LEA RD,38.084885,-84.497802,38.084885,-84.497802
Harassing Communications,20133422,12/17/2013 - 7:40am,12/17/2013,HARASSING COMMUNICATIONS/M,No,Closed,750 ROSE ST,38.032456,-84.507403,38.032456,-84.507403
Harassment,20133425,12/17/2013 - 11:45am,12/17/2013,HARASSMENT (NO PHYSICAL CONTACT),No,Closed,740 SOUTH LIMESTONE ST,#N/A,#N/A,#N/A,#N/A
Theft,20133426,12/13/2013 - 12:00pm,12/17/2013,TBUT OR DISP BICYCLES U/$500/M,No,Open,167 FUNKHOUSER DR,38.035398,-84.504731,38.035398,-84.504731
Assault,20133427,12/17/2013 - 1:10pm,12/17/2013,ASSAULT 4TH (NO VISIBLE INJURY)/M,No,Closed,217 ELM TREE LN,38.046029,-84.489954,38.046029,-84.489954
Harassing Communications,20133430,12/17/2013 - 5:00pm,12/17/2013,HARASSING COMMUNICATIONS/M,No,Closed,705 SPORTS CENTER DR,38.027044,-84.500178,38.027044,-84.500178
Burglary,20133428,12/17/2013 - 12:45pm,12/17/2013,BURGLARY 3RD/F,Yes,Open,695 WINNIE ST,38.036865,-84.511568,38.036865,-84.511568
Assault,CSA20130097,12/17/2013 - 2:20pm,12/17/2013,ASSAULT 4TH,No,Closed - CSA,1350 BULL LEA RD,38.084885,-84.497802,38.084885,-84.497802
Assault,CSA20130098,12/17/2013 - 10:50am,12/17/2013,ASSAULT 4TH,No,Closed - CSA,1350 BULL LEA RD,38.084885,-84.497802,38.084885,-84.497802
Assault,CSA20130099,12/17/2013 - 12:00pm,12/17/2013,ASSAULT 4TH,No,Closed - CSA,1350 BULL LEA RD,38.084885,-84.497802,38.084885,-84.497802
Assault,CSA20130100,12/17/2013 - 7:25pm,12/17/2013,ASSAULT 4TH,No,Closed - CSA,1350 BULL LEA RD,38.084885,-84.497802,38.084885,-84.497802
Assault,CSA20130101,12/17/2013 - 8:18pm,12/17/2013,ASSAULT 4TH,No,Closed - CSA,1350 BULL LEA RD,38.084885,-84.497802,38.084885,-84.497802
Assault,CSA20130102,12/17/2013 - 10:00pm,12/17/2013,ASSAULT 4TH,No,Closed - CSA,1350 BULL LEA RD,38.084885,-84.497802,38.084885,-84.497802
Assault,CSA20130103,12/17/2013 - 10:00pm,12/17/2013,ASSAULT 4TH,No,Closed - CSA,1350 BULL LEA RD,38.084885,-84.497802,38.084885,-84.497802
Theft,20133424,12/05/2013 - 7:00pm,12/17/2013,TBUT OR DISP FROM BUILDING $500/M,No,Closed,138 LEADER AVE,38.033326,-84.510511,38.033326,-84.510511
Drug Violations,20133409,12/16/2013 - 12:11am,12/16/2013,"POSS OF MARIJUANA/M, DRUG PARAPHERNALIA - BUY/POSSESS/M",Yes,Citation issued,121 KEENELAND DR,#N/A,#N/A,#N/A,#N/A
DUI,20133411,12/16/2013 - 2:50am,12/16/2013,"CARELESS DRIVING, FAILURE TO PRODUCE INSURANCE CARD, OPER MTR VEH U/INFLU ALC/DRUGS/ETC .08 (AGG CIRCUM) 2ND/M",No,Cleared By Arrest,SOUTH LIMESTONE ST & CONN TERR,38.030737,-84.509762,38.030737,-84.509762
Theft,20133415,12/16/2013 - 9:30am,12/16/2013,TBUT OR DISP BICYCLES U$500/M,No,Closed,404 ADMINISTRATION DR,38.03902,-84.505081,38.039020,-84.505081
Theft,20133420,12/16/2013 - 9:40pm,12/16/2013,TBUT OR DISP FROM BUILDING U/$500/M,No,Closed,201 AVENUE OF CHAMPIONS,38.039567,-84.501706,38.039567,-84.501706
Assault,20133421,12/16/2013 - 11:07pm,12/16/2013,"ASSAULT 4TH (DOMESTIC VIOLENCE) MINOR INJURY/M, ALCOHOL INTOX IN A PUBLIC PLACE (1ST & 2ND OFFENSE) X2, DISORDERLY CONDUCT 2ND/M",No,Cleared By Arrest,1000 SOUTH LIMESTONE ST,38.030065,-84.509419,38.030065,-84.509419
Theft,20133423,12/12/2013 - 10:00pm,12/16/2013,"TBUT OR DISP FROM BUILDING $500 OR MORE BUT U/$10,000/F",Yes,Closed,758 WOODLAND AVE,38.029441,-84.502532,38.029441,-84.502532
Sex Offenses,CSA20130094,11/29/2013 - 12:00am,12/16/2013,SEX OFFENSE - FORCIBLE FONDLING,No,Closed - CSA,1350 BULL LEA RD,38.084885,-84.497802,38.084885,-84.497802
Assault,CSA20130095,12/16/2013 - 5:03pm,12/16/2013,ASSAULT 4TH,No,Closed - CSA,1350 BULL LEA RD,38.084885,-84.497802,38.084885,-84.497802
Assault,CSA20130096,12/16/2013 - 6:44pm,12/16/2013,ASSAULT 4TH,No,Closed,1350 BULL LEA RD,38.084885,-84.497802,38.084885,-84.497802
DUI,20133402,12/15/2013 - 1:43am,12/15/2013,OPER MTR VEHICLE U/INFLU ALC/DRUGS/ETC .08 (AGG CIRCUM) 1ST/M,No,Cleared By Arrest,EAST MAXWELL ST & LEXINGTON AVE,38.041487,-84.499106,38.041487,-84.499106
Theft,20133405,12/14/2013 - 9:00pm,12/15/2013,TBUT OR DISP FROM BUILDING U/$500/M,No,Open,201 AVENUE OF CHAMPIONS,38.039567,-84.501706,38.039567,-84.501706
Assault,CSA20130092,12/15/2013 - 8:40pm,12/15/2013,ASSAULT 4TH,No,Closed - CSA,1350 BULL LEA RD,38.084885,-84.497802,38.084885,-84.497802
Assault,CSA20130093,12/15/2013 - 5:50pm,12/15/2013,ASSAULT 4TH,No,Closed - CSA,1350 BULL LEA RD,38.084885,-84.497802,38.084885,-84.497802
DUI,20133392,12/14/2013 - 1:13am,12/14/2013,"DISREGARDING TRAFFIC CONTROL DEVICE, OPER MTR VEHICLE U/INFLU ALC/DRUGS/ETC .08 (AGG CIRCUM) 1ST/M",No,Cleared By Arrest,SOUTH LIMESTONE ST & EAST HIGH ST,38.045155,-84.498773,38.045155,-84.498773
DUI,20133394,12/14/2013 - 2:55am,12/14/2013,"DRIVING ON DUI SUSPENDED LICENSE 1ST/M, OPER MTR VEHICLE U/INFLUENCE ALC/DRUGS/ETC .08 2ND/M, FAILURE OF NON-OWNER OPERATOR TO MAINTAIN REQ INS/SEC 1ST/M",No,Cleared By Arrest,265 EUCLID AVE,38.034497,-84.496019,38.034497,-84.496019
Burglary,20133395,12/13/2013 - 9:21am,12/14/2013,"BURGLARY 3RD/F, CRIMINAL MISCHIEF 3RD/M",No,Closed,770 WOODLAND AVE,38.031014,-84.50094,38.031014,-84.500940
Drug Violations,20133396,12/14/2013 - 12:15pm,12/14/2013,"POSS OF MARIJUANA/M X2, DRUG PARAPHERNALIA - BUY/POSSESS/M X2",Yes,Citation issued,340 HILLTOP AVE,38.032549,-84.503017,38.032549,-84.503017
Drug Violations,20133399,12/14/2013 - 10:23am,12/14/2013,"POSS OF MARIJUANA/M, DRUG PARAPHERNALIA - BUY/POSSESS/M, PERSON 18-20 POSS/PURCH/ATT PURCH/HAVE ANOTHER PURCH ALCOHOL",No,Citation issued,301 HILLTOP AVE,38.033407,-84.50395,38.033407,-84.503950
Assault,CSA20130089,12/13/2013 - 5:30pm,12/14/2013,ASSAULT 4TH,No,Closed - CSA,1350 BULL LEA RD,38.084885,-84.497802,38.084885,-84.497802
Assault,CSA20130090,12/14/2013 - 3:45pm,12/14/2013,ASSAULT 4TH,No,Closed - CSA,1350 BULL LEA RD,38.084885,-84.497802,38.084885,-84.497802
Assault,CSA20130091,12/14/2013 - 5:40pm,12/14/2013,ASSAULT 4TH,No,Closed - CSA,1350 BULL LEA RD,38.084885,-84.497802,38.084885,-84.497802
Alcohol Intoxication,20133379,12/13/2013 - 2:28am,12/13/2013,ALCOHOL INTOXICATION IN A PUBLIC PLACE (1ST & 2ND OFFENSE),No,Cleared By Arrest,AVENUE OF CHAMPIONS & LEXINGTON AVE,38.039562,-84.501724,38.039562,-84.501724
DUI,20133380,12/13/2013 - 2:37am,12/13/2013,"FAILURE TO ILLUMINATE HEAD LAMPS, OPERATING ON SUS OR REV OPER LICENSE/M, OPER MTR VEH U/INFLU ALC/DRUGS/ETC .08 (AGG CIRCUM) 2ND/M",No,Cleared By Arrest,ALUMNI DR & UNIVERSITY DR,38.021822,-84.509457,38.021822,-84.509457
DUI,20133381,12/13/2013 - 3:40am,12/13/2013,OPER MTR VEHICLE U/INFLUENCE ALC/DRUGS/ETC .08 1ST/M,No,Cleared By Arrest,EAST MAXWELL ST & WOODLAND AVE,38.036395,-84.493358,38.036395,-84.493358
Theft,20133382,11/01/2012 - 12:01am,12/13/2013,THEFT OF PROP MISLAID OR DELIVER BY MISTAKE/F,No,Open,504 ROSE ST,38.034849,-84.503367,38.034849,-84.503367
